CUSIP,Short Name,Price Date,Day,Funds,Market Code,Market,Price Source,Bid Price,Ask Price,Last Trade Price,Statement Price,Update Date,Trade Volume,Price Status,Statement Price Status
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-18,Wed,C,XU,CDN MUT FUND,SVC,       8.090,       8.090,       8.090,,2015-02-13,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-17,Tue,C,XU,CDN MUT FUND,SVC,       8.090,       8.090,       8.090,,2015-02-13,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-16,Mon,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-15,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-14,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-13,Fri,C,XU,CDN MUT FUND,SVC,       8.090,       8.090,       8.090,,2015-02-13,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-12,Thu,C,XU,CDN MUT FUND,SVC,       8.000,       8.000,       8.000,,2015-02-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-11,Wed,C,XU,CDN MUT FUND,SVC,       8.000,       8.000,       8.000,,2015-02-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-10,Tue,C,XU,CDN MUT FUND,SVC,       8.000,       8.000,       8.000,,2015-02-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-09,Mon,C,XU,CDN MUT FUND,SVC,       8.000,       8.000,       8.000,,2015-02-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-08,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-07,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-06,Fri,C,XU,CDN MUT FUND,SVC,       8.000,       8.000,       8.000,,2015-02-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-05,Thu,C,XU,CDN MUT FUND,SVC,       7.990,       7.990,       7.990,,2015-01-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-04,Wed,C,XU,CDN MUT FUND,SVC,       7.990,       7.990,       7.990,,2015-01-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-03,Tue,C,XU,CDN MUT FUND,SVC,       7.990,       7.990,       7.990,,2015-01-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-02,Mon,C,XU,CDN MUT FUND,SVC,       7.990,       7.990,       7.990,,2015-01-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-02-01,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-31,Sat,C,,,,,,,       0.000,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-30,Fri,C,XU,CDN MUT FUND,SVC,       7.990,       7.990,       7.990,       0.000,2015-01-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-29,Thu,C,XU,CDN MUT FUND,SVC,       7.920,       7.920,       7.920,,2015-01-23,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-28,Wed,C,XU,CDN MUT FUND,SVC,       7.920,       7.920,       7.920,,2015-01-23,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-27,Tue,C,XU,CDN MUT FUND,SVC,       7.920,       7.920,       7.920,,2015-01-23,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-26,Mon,C,XU,CDN MUT FUND,SVC,       7.920,       7.920,       7.920,,2015-01-23,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-25,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-24,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-23,Fri,C,XU,CDN MUT FUND,SVC,       7.920,       7.920,       7.920,,2015-01-23,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-22,Thu,C,XU,CDN MUT FUND,SVC,       7.680,       7.680,       7.680,,2015-01-16,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-21,Wed,C,XU,CDN MUT FUND,SVC,       7.680,       7.680,       7.680,,2015-01-16,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-20,Tue,C,XU,CDN MUT FUND,SVC,       7.680,       7.680,       7.680,,2015-01-16,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-19,Mon,C,XU,CDN MUT FUND,SVC,       7.680,       7.680,       7.680,,2015-01-16,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-18,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-17,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-16,Fri,C,XU,CDN MUT FUND,SVC,       7.680,       7.680,       7.680,,2015-01-16,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-15,Thu,C,XU,CDN MUT FUND,SVC,       7.780,       7.780,       7.780,,2015-01-09,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-14,Wed,C,XU,CDN MUT FUND,SVC,       7.780,       7.780,       7.780,,2015-01-09,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-13,Tue,C,XU,CDN MUT FUND,SVC,       7.780,       7.780,       7.780,,2015-01-09,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-12,Mon,C,XU,CDN MUT FUND,SVC,       7.780,       7.780,       7.780,,2015-01-09,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-11,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-10,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-09,Fri,C,XU,CDN MUT FUND,SVC,       7.780,       7.780,       7.780,,2015-01-09,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-08,Thu,C,XU,CDN MUT FUND,SVC,       7.670,       7.670,       7.670,,2015-01-02,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-07,Wed,C,XU,CDN MUT FUND,SVC,       7.670,       7.670,       7.670,,2015-01-02,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-06,Tue,C,XU,CDN MUT FUND,SVC,       7.670,       7.670,       7.670,,2015-01-02,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-05,Mon,C,XU,CDN MUT FUND,SVC,       7.670,       7.670,       7.670,,2015-01-02,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-04,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-03,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-02,Fri,C,XU,CDN MUT FUND,SVC,       7.670,       7.670,       7.670,,2015-01-02,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2015-01-01,Thu,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-31,Wed,C,XU,CDN MUT FUND,SVC,       7.660,       7.660,       7.660,       0.000,2014-12-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-30,Tue,C,XU,CDN MUT FUND,SVC,       7.660,       7.660,       7.660,,2014-12-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-29,Mon,C,XU,CDN MUT FUND,SVC,       7.660,       7.660,       7.660,,2014-12-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-28,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-27,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-26,Fri,C,XU,CDN MUT FUND,SVC,       7.660,       7.660,       7.660,,2014-12-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-25,Thu,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-24,Wed,C,XU,CDN MUT FUND,SVC,       7.660,       7.660,       7.660,,2014-12-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-23,Tue,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-12-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-22,Mon,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-12-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-21,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-20,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-19,Fri,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-12-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-18,Thu,C,XU,CDN MUT FUND,SVC,       7.570,       7.570,       7.570,,2014-12-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-17,Wed,C,XU,CDN MUT FUND,SVC,       7.570,       7.570,       7.570,,2014-12-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-16,Tue,C,XU,CDN MUT FUND,SVC,       7.570,       7.570,       7.570,,2014-12-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-15,Mon,C,XU,CDN MUT FUND,SVC,       7.570,       7.570,       7.570,,2014-12-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-14,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-13,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-12,Fri,C,XU,CDN MUT FUND,SVC,       7.570,       7.570,       7.570,,2014-12-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-11,Thu,C,XU,CDN MUT FUND,SVC,       7.630,       7.630,       7.630,,2014-12-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-10,Wed,C,XU,CDN MUT FUND,SVC,       7.630,       7.630,       7.630,,2014-12-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-09,Tue,C,XU,CDN MUT FUND,SVC,       7.630,       7.630,       7.630,,2014-12-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-08,Mon,C,XU,CDN MUT FUND,SVC,       7.630,       7.630,       7.630,,2014-12-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-07,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-06,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-05,Fri,C,XU,CDN MUT FUND,SVC,       7.630,       7.630,       7.630,,2014-12-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-04,Thu,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-28,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-03,Wed,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-28,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-02,Tue,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-28,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-12-01,Mon,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-28,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-30,Sun,C,,,,,,,       0.000,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-29,Sat,C,,,,,,,       0.000,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-28,Fri,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,       0.000,2014-11-28,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-27,Thu,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-11-21,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-26,Wed,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-11-21,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-25,Tue,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-11-21,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-24,Mon,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-11-21,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-23,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-22,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-21,Fri,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-11-21,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-20,Thu,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-14,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-19,Wed,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-14,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-18,Tue,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-14,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-17,Mon,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-14,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-16,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-15,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-14,Fri,C,XU,CDN MUT FUND,SVC,       7.710,       7.710,       7.710,,2014-11-14,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-13,Thu,C,XU,CDN MUT FUND,SVC,       7.730,       7.730,       7.730,,2014-11-07,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-12,Wed,C,XU,CDN MUT FUND,SVC,       7.730,       7.730,       7.730,,2014-11-07,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-11,Tue,C,XU,CDN MUT FUND,SVC,       7.730,       7.730,       7.730,,2014-11-07,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-10,Mon,C,XU,CDN MUT FUND,SVC,       7.730,       7.730,       7.730,,2014-11-07,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-09,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-08,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-07,Fri,C,XU,CDN MUT FUND,SVC,       7.730,       7.730,       7.730,,2014-11-07,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-06,Thu,C,XU,CDN MUT FUND,SVC,       7.750,       7.750,       7.750,,2014-10-31,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-05,Wed,C,XU,CDN MUT FUND,SVC,       7.750,       7.750,       7.750,,2014-10-31,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-04,Tue,C,XU,CDN MUT FUND,SVC,       7.750,       7.750,       7.750,,2014-10-31,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-03,Mon,C,XU,CDN MUT FUND,SVC,       7.750,       7.750,       7.750,,2014-10-31,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-02,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-11-01,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-31,Fri,C,XU,CDN MUT FUND,SVC,       7.750,       7.750,       7.750,       0.000,2014-10-31,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-30,Thu,C,XU,CDN MUT FUND,SVC,       7.720,       7.720,       7.720,,2014-10-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-29,Wed,C,XU,CDN MUT FUND,SVC,       7.720,       7.720,       7.720,,2014-10-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-28,Tue,C,XU,CDN MUT FUND,SVC,       7.720,       7.720,       7.720,,2014-10-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-27,Mon,C,XU,CDN MUT FUND,SVC,       7.720,       7.720,       7.720,,2014-10-24,0,,
